,Estrategia,Categoría,CAGR IS,CAGR OOS,Alpha IS,Alpha OOS,Sharpe IS,Sharpe OOS,MaxDD IS,MaxDD OOS,$100 1yr
49,DUALMOM_L12_EFA_AGG,Dual Momentum,0.16694574498374837,0.18519404306962528,0.03438112843128582,0.026591076071660114,1.1260832036283808,0.9478696439330248,-0.16738927270080906,-0.187965795729078,118.51940430696253
50,MOM_L12_S1_T30,Momentum CS,0.1726064599908892,0.1844403834401176,0.04004184343842665,0.025837416442152428,1.0363929609400584,0.8198877277196447,-0.18975877056612633,-0.1929373047006866,118.44403834401176
51,MOM_L6_S1_T30,Momentum CS,0.1705535153619937,0.18431850893932777,0.03798889880953116,0.025715541941362607,1.0490861095480286,0.798496157839258,-0.1804431300386291,-0.2005294807669883,118.43185089393278
52,DUALMOM_L9_VT_AGG,Dual Momentum,0.1793085374542267,0.18425441848324997,0.04674392090176416,0.025651451485284804,1.4878524075877935,1.0485810258766495,-0.0997147674444574,-0.14371544167350192,118.425441848325
53,MOM_L9_S1_T30,Momentum CS,0.18335892094608064,0.18424929516356814,0.050794304393618095,0.025646328165602972,1.1177388813626357,0.8020141844617871,-0.20573383806075962,-0.1934543237218176,118.42492951635681
54,SEASONAL_AvoidAgoSep,Seasonal,0.15006167443648932,0.18295559282374807,0.01749705788402678,0.024352625825782903,1.0135455457387663,0.8911579111929074,-0.13532096510205505,-0.1998133596281796,118.29555928237481
55,MOM_TREND_L12_T20_MA12,Momentum+Trend,0.12982522445917244,0.1822244528189758,-0.002739392093290105,0.023621485821010646,0.8214700182259288,0.9287261708650144,-0.1670095799184902,-0.11493046575506405,118.22244528189758
56,DUALMOM_L12_EFA_TLT,Dual Momentum,0.1908536331328563,0.18221239972994296,0.05828901658039376,0.023609432731977797,1.2639449087645325,0.8677748240666844,-0.16738927270080906,-0.2915969126910103,118.2212399729943
57,ETF_GTAA_L1_top1,ETF Rotation,0.027094886992474976,0.18082391066822856,-0.10546972955998757,0.022220943670263393,-0.03909549087992246,0.8743945467363402,-0.2722955867515442,-0.3146020156047883,118.08239106682285
58,ETF_Sectores_L6_top1,ETF Rotation,0.061149137409070686,0.1799957367455587,-0.07141547914339186,0.02139276974759352,0.22101694758674345,0.6431533471998534,-0.18701797916126517,-0.170734539616346,117.99957367455588
59,ETF_Sectores_L1_top2,ETF Rotation,0.06336382756527836,0.17923056032400408,-0.06920078898718418,0.020627593326038918,0.251398817777097,0.8089693885995702,-0.1422471633302368,-0.22097376713637662,117.92305603240041
60,MOM_TREND_L6_T20_MA12,Momentum+Trend,0.13991277711518935,0.17846155760104443,0.007348160562726802,0.019858590603079262,0.8672061485467281,0.8734918076069563,-0.16333017670286432,-0.11615495821006727,117.84615576010444
61,ETF_GTAA_L12_top3,ETF Rotation,0.08291743016558972,0.17819945989519015,-0.04964718638687282,0.019596492897224982,0.49920501720777427,1.118079711401198,-0.09812615203680641,-0.19923925738846848,117.81994598951901
62,DUALMOM_L6_VT_AGG,Dual Momentum,0.16337585843845148,0.17804712721235227,0.030811241885988938,0.019444160214387107,1.2853628835352089,0.9968355138271973,-0.0691041400584409,-0.14674009423996126,117.80471272123523
63,TREND_QQQ_MA8_cash,Trend Following,0.1295560004566194,0.17783278795725588,-0.0030086160958431307,0.01922982095929071,0.7605311962891915,0.9056259444271678,-0.17394291411405882,-0.12901919032177367,117.7832787957256
64,DUALMOM_L12_VT_AGG,Dual Momentum,0.16555464619211846,0.1768148926285973,0.032990029639655916,0.01821192563063212,1.1539228469992135,0.9323749177685272,-0.16898125795442276,-0.18796579572907768,117.68148926285973
65,TREND_QQQ_MA6_cash,Trend Following,0.11804622879550575,0.17404474610820664,-0.014518387756956797,0.015441779110241471,0.6706219113019236,0.8693560563679424,-0.1768766911847891,-0.14186542390545764,117.40447461082067
66,DUALMOM_L12_VT_TLT,Dual Momentum,0.18943403410078474,0.1738543290760186,0.0568694175483222,0.015251362078053443,1.293102764501184,0.8476209696806196,-0.16898125795442276,-0.2915969126910104,117.38543290760187
67,ETF_MultiAsset_L3_top1,ETF Rotation,0.06988720389023184,0.1732338585103299,-0.0626774126622307,0.014630891512364741,0.2672103872156482,0.7240516363776367,-0.2621672110347929,-0.2558029252327477,117.323385851033
68,DUALMOM_L9_EFA_AGG,Dual Momentum,0.17779811493017328,0.17298631179405843,0.045233498377710735,0.014383344796093267,1.425004137877372,0.9687747622771369,-0.09971476744445729,-0.1437154416735017,117.29863117940585
69,TREND_QQQ_MA12_cash,Trend Following,0.12950608220754023,0.17231165154675132,-0.0030585343449223146,0.013708684548786154,0.761424777108866,0.8601726535487205,-0.1739429141140585,-0.12901919032177367,117.23116515467512
70,ETF_Sectores_L12_top3,ETF Rotation,0.09095051771504337,0.17205708393402364,-0.04161409883741918,0.013454116936058469,0.49282043723139873,0.8188007476870791,-0.1988204924499728,-0.15813453989025017,117.20570839340236
71,MOM_TREND_L12_T10_MA6,Momentum+Trend,0.15346469512201288,0.17060745799166543,0.02090007856955034,0.012004490993700268,0.9700072684057615,0.8637481071035737,-0.12998718556850397,-0.12397342259522937,117.06074579916654
72,CONTRARIAN_L3_B20,Contrarian,0.18134896863622574,0.16860474598249686,0.048784352083763194,0.010001778984531695,0.8857726695865242,0.6235074248759617,-0.2521696415522958,-0.2679878434558486,116.86047459824968
73,CONTRARIAN_L1_B20,Contrarian,0.1880633230416715,0.16766428785900844,0.05549870648920896,0.009061320861043276,0.9457559023041084,0.655125738795931,-0.24615225188848466,-0.27846718705632567,116.76642878590084
74,MOM_TREND_L6_T10_MA6,Momentum+Trend,0.1615549573816415,0.16657007393837087,0.02899034082917895,0.0079671069404057,1.0056032509199817,0.8044942757975317,-0.12116882433607024,-0.15958647854493846,116.65700739383709
75,DUALMOM_L6_EFA_AGG,Dual Momentum,0.17109289637154101,0.16568364365502442,0.03852827981907847,0.007080676657059248,1.2910537375703086,0.9237479087481575,-0.0691041400584409,-0.12777980703673342,116.56836436550245
76,MOM_TREND_L12_T10_MA10,Momentum+Trend,0.1365189869842791,0.16534028133377165,0.003954370431816567,0.006737314335806488,0.7810092275500907,0.8026207242763979,-0.19114280358541103,-0.16028678135522234,116.53402813337716
77,MOM_L3_S1_T30,Momentum CS,0.17593848338152318,0.1644675169785541,0.04337386682906064,0.00586454998058894,1.095773866604565,0.7173298941567495,-0.13866920379815528,-0.21449501611723465,116.4467516978554
78,MOM_TREND_L6_T10_MA10,Momentum+Trend,0.1515538214930534,0.1626676923935091,0.018989204940590865,0.004064725395543922,0.8733077738983012,0.7628706119359446,-0.18187087526375267,-0.1822443321658358,116.26676923935091
79,ETF_MultiAsset_L12_top2,ETF Rotation,0.036009659426248675,0.16222541849940386,-0.09655495712621387,0.003622451501438695,0.02178511285012034,0.8281343087648475,-0.29007721008871223,-0.27544333474737726,116.22254184994038
80,ETF_GTAA_L1_top2,ETF Rotation,0.08630900440360079,0.16195722379640287,-0.04625561214886176,0.0033542567984377047,0.4847274221984646,0.9401968497005854,-0.17989077363172623,-0.2512687898168747,116.19572237964029
81,CONTRARIAN_L6_B10,Contrarian,0.2177387336521961,0.15864365030249394,0.08517411709973355,4.068330452877689e-05,0.9542333157222838,0.5652080612696926,-0.24790215046984443,-0.30172899677859244,115.86436503024939
82,DUALMOM_L9_VT_TLT,Dual Momentum,0.21003690185690416,0.15809044155741492,0.07747228530444161,-0.0005125254405502488,1.540409882727257,0.7931152203120255,-0.0997147674444574,-0.29662087797188763,115.80904415574149
83,ETF_GTAA_L6_top2,ETF Rotation,0.12193894899125546,0.15518514470844202,-0.010625667561207086,-0.0034178222895231425,0.7752120339117341,0.8437555078330538,-0.12436212632368837,-0.25070339243922113,115.5185144708442
84,ETF_MultiAsset_L3_top3,ETF Rotation,0.12033310948515741,0.15383270943662808,-0.012231507067305136,-0.004770257561337088,0.7543412584888759,0.7706498127734266,-0.14558948360797364,-0.3035878986736349,115.38327094366281
85,ETF_MultiAsset_L1_top3,ETF Rotation,0.06613863868941228,0.15375468044676022,-0.06642597786305027,-0.00484828655120495,0.3062752728598649,0.769092781002287,-0.17695894101187648,-0.3374735930414504,115.37546804467603
86,ETF_MultiAsset_L12_top3,ETF Rotation,0.07127757108194022,0.15288290280683614,-0.06128704547052233,-0.005720064191129026,0.3121159375493381,0.7834325637259891,-0.1619902028307102,-0.27860830555133287,115.28829028068361
87,DUALMOM_L6_VT_TLT,Dual Momentum,0.20489679589791576,0.15130629123061556,0.07233217934545322,-0.007296675767349603,1.4299467754375872,0.7506390280127735,-0.06910414005844079,-0.28706308133986147,115.13062912306155
88,DUALMOM_L9_EFA_TLT,Dual Momentum,0.20848712337785913,0.15113686158133377,0.07592250682539659,-0.007466105416631397,1.490800535481889,0.7537837485681312,-0.09971476744445729,-0.29662087797188774,115.11368615813338
89,ETF_MultiAsset_L3_top2,ETF Rotation,0.10038653269248754,0.15056415779215304,-0.032178083859975004,-0.008038809205812125,0.5423730780589803,0.711157941887868,-0.17562733267165165,-0.31067620167852505,115.0564157792153
90,TREND_SPY_MA12_cash,Trend Following,0.08880043894426692,0.14586455890553074,-0.04376417760819562,-0.012738408092434428,0.5196861229313513,0.802354792750931,-0.14931170224608836,-0.12986374680716717,114.58645589055307
91,ETF_Sectores_L3_top3,ETF Rotation,0.11844563467684344,0.14475477764644196,-0.014118981875619108,-0.01384818935152321,0.6839931787518906,0.6361891373954076,-0.11415471481842399,-0.18253287451110134,114.4754777646442
